"CNTLNUM","SCHCNTL","currentTeacher","TFSFINWT","F0105","F0108","F0113","F0116","T0293","T0294","T0295","T0296","T0297","T0298","T0299","T0300","T0301","T0303","T0306","T0307","T0308","T0309","T0310","T0311","T0312","T0315","T0320","T0321","T0322","T0324","T0325","T0326","T0327","T0331","T0332","T0335","T0336","T0337","T0338","T0339","T0340","TFNLWGT","LEP_T","MGMNT_T","NEWTCH","PLAN","PUPILS_D","PUPILS_S","SBKGD_T","SDLQ_T","T0051","T0059","T0106","T0120","T0122","T0124","T0125","T0126","T0127","T0147","T0148","T0149","T0150","T0153","T0154","T0155","T0156","T0158","T0208","T0248","T0250","treat","teachImputed","PUPILS","PSCHMAN","PFAMBACK","PSTUDEL","PSTUPAR","PTEACSUP","pscore","distance","weights","subclass"
107571,102469,0,103.4493,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree",4,3,4,4,4,4,1,1,2,2,1,3,1,2,1,1,2,2,1,3,2,4,4,4,3,3,3,2,2,2,4,1,1,84.6649,0,19,"Teacher has taught 3 years or less",25,82,0,10,17,1,0,5,1,5,1,1,1,1,1,1,5,2,2,1,2,2,1,0,1,-8,0,0,82,-0.60458374517801,0.149753150958837,0.20898624146907,0.126420370955976,-0.77827201334964,0.255370444250611,0.255370444250611,1,"3"
108163,107303,1,683.5678,"Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree",4,5,5,5,5,5,1,1,1,2,1,1,2,2,1,1,1,1,1,3,3,4,4,4,4,4,3,3,3,4,3,1,2,134.491,0,20,"Teacher has taught 3 years or less",16.89,0,17,13,19,1,0,0,2,5,1,1,1,1,1,1,5,2,1,1,1,2,2,17,-8,-8,0,0,17,-1.20545473428842,1.12436391969696,0.841791573933253,0.619754386544988,-0.73516803792218,0.241716039540346,0.241716039540346,1,"136"
108407,111882,1,33.4044,"Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree",5,5,5,5,5,5,2,2,4,3,4,4,4,4,4,4,3,1,2,2,1,4,3,4,4,1,3,1,1,1,3,2,5,33.4044,0,10,"Teacher has taught 3 years or less",12.5,105,0,6,15,1,0,1,2,5,1,1,1,1,2,-8,0,2,1,1,1,2,2,0,1,-8,0,0,105,1.3714312844784,-0.774585827518572,-0.280168915729188,-0.60136505724547,1.743107876716,0.310328255717926,0.310328255717926,1,"204"
108510,104563,0,26.0221,"Somewhat agree","Strongly disagree","Somewhat disagree","Strongly disagree",4,4,4,4,4,4,2,2,4,2,1,2,3,1,1,2,3,1,2,2,1,1,2,3,3,3,1,1,3,1,3,4,3,20.0591,5,16,"Teacher has taught 3 years or less",3.75,120,0,8,12,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,1,1,2,2,0,2,2,0,0,120,-0.0332046877587282,-0.604774190792138,-0.766550296822031,-1.16992168160485,0.15249205225709,0.267954597508199,0.267954597508199,1,"188"
108565,107939,1,203.4266,"Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree",3,4,4,5,4,4,2,2,4,3,2,3,2,2,2,2,2,2,2,4,4,4,3,4,3,4,2,3,3,3,3,2,3,136.2322,0,15,"Teacher has taught 3 years or less",2.08,0,0,12,16,1,0,1,1,5,1,1,1,1,1,1,3,1,1,1,2,2,2,0,2,2,0,1,0,0.32391679581608,0.632047493104454,0.254658348983075,1.11682811645284,-0.0521507595964625,0.459102864740838,0.459102864740838,1,"10"
108621,109087,1,11.5458,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree",5,5,5,5,2,5,1,1,4,4,2,3,2,2,1,3,4,2,1,2,1,3,4,4,4,4,2,1,1,1,2,1,2,8.7059,0,16,"Teacher has taught 3 years or less",3.33,38,0,5,18,1,0,6,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,2,-8,0,0,38,0.035321023866035,-0.883866178105365,0.0459035449031514,-0.68574693583645,0.271856845465062,0.145859201508673,0.145859201508673,1,"17"
108840,106998,1,27.0614,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree",3,3,2,2,1,1,3,2,4,4,3,4,4,4,3,4,4,2,3,2,1,1,3,3,3,4,1,1,1,1,3,3,1,26.1808,24.04,10,"Teacher has taught 3 years or less",17.05,104,0,6,14,1,0,1,3,5,2,2,2,2,2,-8,0,2,2,2,1,2,2,0,-8,2,0,0,104,1.31957147258992,-0.900503605657006,-0.632511639262334,-1.20406350362924,1.81701771348906,0.1306688458768,0.1306688458768,1,"28"
109451,100663,1,477.434,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree",4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,1,1,170.2822,0,15,"Teacher has taught 3 years or less",11.84,0,6,12,16,1,0,3,1,5,1,1,1,1,1,1,4,1,2,1,1,2,2,6,1,-8,0,0,6,0.181626010744151,0.572002872516564,0.143179227450773,0.0485307777161665,0.046330606837981,0.27660910631386,0.27660910631386,1,"175"
109481,100891,0,47.8754,"Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree",4,5,5,5,5,5,2,1,4,2,1,2,1,1,2,2,2,4,4,3,3,3,3,3,3,3,3,3,2,1,3,4,5,36.9048,5.88,17,"Teacher has taught 3 years or less",1.88,0,34,9,15,1,0,0,1,5,1,1,1,1,1,1,4,1,2,1,1,2,1,34,1,1,0,0,34,-0.191567206298059,-0.228418211140024,-0.0715866949065675,0.164810595308361,-0.605799994859632,0.25654088649211,0.25654088649211,1,"166"
109623,104382,0,123.7869,"Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree",4,4,4,4,4,5,1,1,4,2,1,1,1,1,1,1,1,4,1,3,1,3,3,3,3,3,3,1,1,2,3,1,3,98.2873,0,20,"Teacher has taught 3 years or less",0,92,0,7,15,1,0,6,1,5,1,1,1,1,1,1,5,2,1,1,1,2,2,0,1,-8,0,0,92,-1.4597688540166,-0.294536604870559,-0.133387117989365,-0.502931465220197,-1.27945741183077,0.321931781019173,0.321931781019173,1,"51"
110273,111695,1,54.6891,"Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree",3,3,4,4,4,3,1,1,3,3,1,2,2,2,1,2,1,1,1,2,2,4,4,4,4,4,4,2,3,3,4,2,5,48.5048,4.76,20,"Teacher has taught 3 years or less",5.71,0,21,12,20,1,1,1,3,5,1,1,1,1,1,1,3,1,2,1,2,2,2,21,1,2,0,0,21,-0.902602836263842,0.691121559925635,0.902689108639266,0.0576706718480968,-0.324878544159819,0.271324521905228,0.271324521905228,1,"117"
110479,105583,1,285.7404,"Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree",5,5,5,5,4,5,2,1,3,3,2,4,2,1,2,3,3,1,1,4,3,4,4,4,4,4,3,1,2,2,4,3,3,54.1491,0,15,"Teacher has taught 3 years or less",12.5,0,0,9,19,1,0,7,1,4,-8,-8,-8,-8,-8,-8,0,2,1,2,2,2,2,4,2,1,0,0,0,0.383613414478524,0.0764827436056798,0.635016581238394,0.800012462139363,0.0128435327960279,0.209015500170712,0.209015500170712,1,"74"
110752,101020,1,246.7594,"Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree",3,4,4,4,4,4,1,1,4,3,1,2,1,1,1,1,1,2,3,1,1,2,1,2,2,3,1,1,1,1,1,3,3,218.856,4.17,20,"Teacher has taught 3 years or less",6.06,0,24,4,9,1,1,1,3,5,1,1,1,1,1,1,4,1,1,1,2,2,2,24,1,2,0,0,24,-1.05368061329242,-1.58770734543673,-1.21765064014961,-1.34417985475447,-1.00797533549958,0.257991587815704,0.257991587815704,1,"173"
111006,110798,1,26.8934,"Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree",3,4,4,5,4,4,2,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,2,4,1,1,19.1637,0.66,18,"Teacher has taught 3 years or less",2.14,152,0,14,20,1,1,1,3,5,1,1,1,1,1,1,3,2,1,2,1,2,2,0,-8,2,0,1,152,-0.501587291065471,0.808825254218264,1.22785397004754,1.48358181962273,-1.16658356606715,0.235638719104183,0.235638719104183,1,"59"
111112,101022,1,123.1171,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly agree",4,5,5,5,4,5,2,3,3,3,3,4,4,2,4,3,3,1,2,2,2,2,3,4,3,3,2,2,2,3,3,1,1,92.1797,15.38,10,"Teacher has taught 3 years or less",5.71,0,13,10,15,1,0,4,1,5,1,1,1,1,1,1,4,2,2,2,2,2,2,13,1,1,0,0,13,1.2339744247586,0.265888073990198,-0.221284015931132,-0.514405633532895,1.15490514820522,0.142024926568998,0.142024926568998,1,"52"
111909,112219,1,42.1275,"Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree",3,3,5,4,5,4,1,1,3,4,1,2,2,2,1,1,2,3,1,3,2,4,3,4,4,4,2,2,2,2,2,1,2,37.3639,35,19,"Teacher has taught 3 years or less",9.87,0,20,8,17,1,0,0,1,5,1,1,1,1,1,1,4,2,2,1,1,2,2,20,-8,2,0,0,20,-0.664793936876485,-0.118715427500856,0.177320169694961,0.0709277823463752,-0.500277430254506,0.265896760794622,0.265896760794622,1,"38"
