"pid","y11","y21","y12","y22","y13","y23","y14","y24","income","h_num","age","sex","edu","spouse","x"
59002,4,4,3,3,4,3,4,3,1036,2,53,0,6,1,0
59501,4,4,4,3,5,4,3,3,1960,3,46,1,6,1,1
60102,3,4,3,3,2,3,2,2,1032,2,56,1,16,1,1
60103,3,4,3,3,2,2,3,2,1032,2,54,0,12,1,1
60501,3,3,3,3,3,3,2,2,1710,2,51,1,9,1,1
60502,3,3,3,3,3,3,2,2,1710,2,48,0,12,1,1
60801,4,4,3,3,3,3,3,3,3040,1,53,0,9,0,1
61901,4,4,4,3,3,5,4,3,2160,2,45,1,6,0,1
62001,4,3,3,3,3,3,2,2,2620,3,46,1,12,1,1
62102,4,4,3,3,4,3,3,2,3975,4,46,0,9,1,1
62401,3,3,4,3,5,4,4,3,2990,3,46,1,9,1,1
63101,3,3,3,3,2,2,2,2,9500,3,45,1,12,1,1
63302,3,3,3,3,3,3,3,2,2184,2,58,0,6,1,1
63901,3,3,4,3,2,2,2,2,5584,3,59,1,6,1,1
63902,3,3,4,3,2,2,3,2,5584,3,55,0,6,1,1
64101,2,4,3,3,5,5,4,3,1004,2,59,1,9,1,1
64802,4,3,3,3,4,3,3,2,2980,3,51,0,6,1,1
65001,2,2,3,2,3,3,3,3,1500,2,46,1,9,1,1
66201,3,3,3,2,4,3,3,3,1940,1,52,1,16,1,1
67201,4,4,4,3,4,3,3,3,6720,3,47,1,12,1,1
68201,4,4,3,3,5,3,4,3,3449,4,46,1,6,1,0
68401,3,3,3,3,3,3,3,2,7440,3,55,1,12,1,1
68404,3,4,3,3,3,3,3,3,7440,3,48,0,9,1,1
68501,5,4,4,2,3,3,3,2,1770,2,54,1,12,1,0
68502,5,4,4,2,3,3,3,2,1770,2,47,0,9,1,0
69801,4,4,4,2,4,3,3,3,1816,2,51,1,6,1,0
70201,4,4,4,2,3,2,3,3,6040,1,48,1,12,1,0
70601,3,3,4,2,3,3,2,3,1236,2,47,1,9,1,1
72001,2,2,2,2,2,2,2,2,15400,3,47,1,16,1,1
72101,2,4,3,2,4,3,2,2,6040,2,53,1,16,1,1
72501,3,3,3,2,2,2,2,2,7086,3,48,1,18,1,1
72801,5,4,4,3,3,4,3,3,1440,2,48,1,12,1,1
73102,2,2,3,3,3,3,2,3,1464,2,57,0,9,1,1
75001,2,3,3,2,3,3,3,3,4920,3,57,1,9,1,1
75601,3,3,3,2,5,4,3,2,1019,2,59,1,6,1,1
76001,4,4,3,3,2,3,2,3,3182,1,55,1,16,0,0
76101,4,4,3,2,5,4,3,2,1850,3,55,1,16,1,1
77402,5,4,4,3,4,3,3,3,1660,1,57,0,0,0,0
79801,5,4,4,2,4,3,3,3,2450,3,45,1,6,1,1
79901,3,5,4,2,3,3,3,3,2280,1,45,1,12,0,1
81101,3,3,4,3,3,3,3,2,5180,3,51,1,12,1,1
81102,3,2,2,2,3,3,3,2,5180,3,47,0,9,1,1
81301,3,2,2,1,2,2,2,2,6370,2,51,1,18,1,1
81501,4,3,3,3,3,3,3,2,2860,2,51,1,14,1,1
82901,4,5,5,3,4,3,3,2,1550,2,55,1,6,1,0
83002,5,5,5,2,5,3,3,2,1860,2,50,0,9,1,0
83101,4,4,5,2,4,3,3,2,3160,2,45,1,6,1,0
83102,4,4,5,3,4,3,3,2,3160,2,45,0,6,1,0
84101,4,3,4,3,3,2,2,2,2252,2,53,1,9,1,1
84102,4,4,3,3,3,3,2,2,2252,2,51,0,9,1,0
84402,3,3,4,3,4,3,3,2,8964,3,58,0,6,1,0
85501,5,5,5,2,4,3,3,2,3564,3,55,1,9,1,1
85502,5,5,5,3,4,3,3,2,3564,3,51,0,6,1,0
85601,3,3,5,2,5,3,3,2,1388,3,56,1,6,1,1
85702,3,5,4,2,4,3,3,2,3266,4,46,0,12,1,0
86601,2,3,4,3,3,3,2,2,3048,2,59,1,12,1,1
88501,1,3,3,3,4,3,3,3,4560,2,47,1,6,0,1
88801,1,3,4,2,3,4,3,2,4728,3,48,1,12,1,1
89301,5,4,4,2,5,3,3,2,1562,2,47,0,9,0,0
89401,4,4,4,4,3,2,2,2,6940,3,54,1,12,1,1
89501,5,5,5,3,5,3,3,2,1870,3,59,0,6,0,0
89901,5,5,5,3,4,3,3,3,2160,4,46,0,12,0,0
91201,-1,4,4,2,3,3,2,2,2494,3,45,1,12,1,0
92001,4,5,5,3,4,3,3,2,2600,4,46,1,9,1,0
93101,3,4,3,3,3,3,2,2,1170,2,55,1,9,1,1
93402,4,3,3,3,3,3,2,2,4230,4,58,1,12,1,1
93403,4,3,3,3,3,3,3,2,4230,4,55,0,9,1,1
93901,3,3,3,3,2,2,2,2,1320,1,52,0,12,0,1
94101,3,2,2,2,3,2,2,2,1640,2,59,1,9,1,1
94102,3,3,3,3,3,3,2,2,1640,2,53,0,6,1,1
95101,3,3,3,3,3,3,3,3,2004,2,53,1,9,1,1
97201,3,3,3,3,3,3,3,3,1180,2,49,0,6,0,1
98301,3,2,3,2,1,1,1,1,8420,2,49,1,16,1,1
98501,3,3,3,2,4,3,3,3,216,1,55,1,9,1,0
98801,5,4,4,2,2,2,2,2,10450,3,46,1,12,1,1
100101,4,4,3,2,3,4,3,3,1350,1,59,1,12,1,1
100601,3,4,4,2,3,3,3,2,4800,4,49,1,6,1,0
100901,3,3,3,3,4,3,3,2,3170,1,46,0,12,0,1
101001,4,4,4,3,4,4,3,3,620,2,56,1,6,1,1
101301,3,2,2,2,2,2,2,3,5800,3,56,1,16,1,1
103001,3,3,3,3,4,3,3,2,3600,2,53,1,16,1,1
103802,3,4,4,2,5,3,3,2,1720,3,49,0,6,1,0
106601,5,4,4,2,5,4,4,3,1810,2,45,0,9,0,0
106701,3,3,3,2,3,3,2,2,4300,2,54,1,16,1,1
106802,4,4,4,2,5,4,4,3,1422,2,47,0,6,1,1
107101,4,4,4,2,4,3,3,2,3642,2,52,1,12,1,0
108401,4,4,4,2,4,3,3,2,2824,2,50,1,9,1,1
108402,4,4,4,1,4,3,3,2,2824,2,46,0,6,1,1
109501,4,4,5,2,3,4,3,2,3014,2,56,1,9,1,0
109701,3,3,4,2,4,3,3,2,3956,3,55,1,16,1,1
110501,4,4,4,2,4,3,3,2,9960,4,49,1,12,1,0
110801,4,3,3,3,3,3,3,2,3452,2,52,1,12,0,1
111602,1,2,3,2,3,3,3,2,4380,2,48,0,18,1,1
111901,3,3,3,2,3,3,2,2,8800,4,50,1,20,1,1
112101,3,3,3,3,3,2,2,2,4800,3,46,1,12,1,1
112102,3,4,3,3,3,2,2,2,4800,3,45,0,12,1,1
112701,4,4,4,3,3,3,3,3,2300,3,47,1,9,0,0
113101,4,4,4,2,4,3,3,2,2620,3,51,1,16,1,1
114301,4,5,4,2,3,3,2,2,7310,4,50,1,16,1,1
114501,5,4,4,3,4,3,3,2,1096,2,55,1,12,1,1
114502,5,4,3,3,4,3,3,2,1096,2,49,0,9,1,1
115202,4,4,3,3,5,4,3,3,1154,2,55,0,6,1,1
115501,5,5,4,3,4,4,3,3,2070,2,54,1,14,1,1
115502,5,4,4,3,4,4,3,3,2070,2,49,0,6,1,0
116101,5,5,5,3,4,4,4,2,3240,2,53,1,6,1,0
116102,5,4,4,3,4,4,2,2,3240,2,51,0,6,1,0
116401,3,3,3,3,3,3,3,3,176,1,54,1,12,1,1
116402,3,3,3,3,3,3,3,3,1482,1,53,0,12,1,1
118502,5,4,4,2,3,3,4,2,5580,5,49,0,12,1,1
118601,4,4,4,3,5,5,4,3,3412,4,55,1,12,1,1
118801,5,4,4,3,3,4,3,2,3960,3,49,1,9,0,1
118901,2,3,2,2,3,2,2,2,14820,3,47,1,18,1,1
118902,2,5,2,2,3,2,2,2,14820,3,47,0,16,1,1
119801,4,4,4,3,4,3,3,3,920,2,54,0,12,0,1
120401,2,3,3,3,4,2,2,2,9710,3,50,1,12,1,1
120402,2,3,4,2,4,2,2,2,9710,3,48,0,12,1,1
120801,5,4,3,3,3,3,3,2,6520,3,48,1,12,1,1
121402,4,3,3,3,3,3,3,2,1120,2,53,0,12,1,1
121501,3,4,3,2,3,3,3,3,860,2,59,1,12,1,0
121502,3,4,4,2,3,4,3,2,860,2,55,0,9,1,1
121701,5,5,5,1,3,3,3,2,1800,1,46,0,16,0,0
121901,4,4,4,3,4,3,3,2,11040,4,45,1,12,1,1
122601,4,3,2,2,4,4,2,2,666,2,58,1,6,1,1
123301,4,4,3,2,3,3,3,2,3744,4,46,1,9,1,0
123801,3,3,3,3,3,3,2,2,11920,4,49,1,18,1,1
124001,3,3,3,2,3,2,3,3,5000,4,56,1,20,1,1
124202,4,3,3,2,3,3,3,2,35,1,48,0,12,1,1
124501,5,5,3,3,3,3,4,2,3352,2,50,1,9,1,1
124801,4,3,3,2,3,2,2,2,3660,2,55,1,6,1,1
126001,3,2,3,2,2,2,2,2,5066,2,52,1,9,1,1
126701,4,4,4,3,3,3,3,2,7200,4,48,1,16,1,0
127201,3,2,2,2,3,3,2,2,3600,1,48,0,16,0,1
127603,4,4,4,2,5,4,4,3,2280,2,49,0,9,1,1
127801,5,4,3,3,5,5,4,3,404,2,58,0,9,1,1
128501,4,3,3,2,2,2,2,2,4440,2,53,1,18,1,1
128702,5,3,3,3,4,3,3,2,2380,2,55,0,12,1,1
129001,5,4,3,2,3,3,2,2,2420,2,49,1,18,1,1
129501,3,4,3,3,3,3,3,3,3104,2,47,1,12,1,1
129601,5,4,3,2,3,3,3,3,6900,3,46,0,14,0,0
130001,3,4,4,1,4,3,3,3,1788,2,54,1,16,1,0
130401,4,3,3,1,4,4,4,2,1640,2,47,1,16,1,1
130501,5,4,4,2,4,4,2,2,2000,1,47,0,12,0,0
130801,2,3,3,2,2,2,3,3,10300,2,46,1,12,1,1
132301,3,3,2,2,3,3,2,2,2042,2,53,1,12,1,1
132302,3,3,2,2,4,3,2,3,1884,2,54,0,6,1,1
133001,3,3,3,3,3,3,3,2,1906,2,55,1,12,1,1
133501,3,3,3,2,4,3,3,3,3272,3,53,1,9,1,1
133802,3,4,4,3,3,3,2,2,2018,2,54,0,9,1,1
134001,3,4,3,2,4,3,3,3,4050,3,49,1,6,1,1
134102,3,4,3,3,4,3,3,3,3384,2,57,0,6,1,1
134601,3,3,3,3,3,4,3,3,6500,2,52,0,9,0,1
135201,4,4,3,2,3,3,3,2,9504,4,47,1,9,1,0
136001,3,4,2,2,2,2,2,2,4480,2,50,1,12,1,1
136801,3,3,3,3,3,2,2,2,7950,3,50,1,12,1,1
137302,3,3,2,2,3,3,2,3,1874,2,52,0,9,1,1
138202,4,4,4,4,3,4,4,4,816,3,57,0,6,1,0
138402,3,2,2,2,3,2,2,2,5140,2,50,0,12,1,1
140001,3,4,3,3,3,3,2,3,2140,2,58,1,6,1,1
140101,3,3,4,2,3,2,3,2,4410,3,54,1,9,1,1
140801,3,3,3,2,3,2,2,2,3578,2,53,1,12,1,1
140902,3,3,3,2,3,3,3,3,1300,1,58,0,6,1,1
141001,3,4,3,3,3,3,3,3,1500,2,53,0,6,0,1
141201,4,3,3,3,3,3,3,3,7680,5,52,1,12,1,1
141401,3,3,3,3,3,3,3,3,1218,1,52,0,0,0,1
141501,3,3,3,3,3,4,3,3,598,2,53,1,9,1,1
141601,3,3,3,2,3,2,2,2,7229,4,52,1,12,1,1
141701,3,3,2,2,4,3,3,3,2276,2,46,1,9,1,1
141702,3,3,2,2,4,3,3,3,2276,2,47,0,9,1,1
142502,3,4,3,3,3,3,3,2,3164,2,51,0,6,1,1
143002,2,2,2,2,3,2,2,2,2310,2,58,0,0,1,1
143301,3,3,3,2,3,2,2,2,8232,3,46,1,12,1,1
143401,5,5,5,3,3,3,3,2,8950,4,46,1,12,1,0
143502,3,3,3,2,3,3,3,2,4560,3,47,0,12,1,1
143801,5,4,4,4,4,3,3,3,890,2,57,1,6,0,0
144801,4,4,3,2,3,2,3,2,1716,3,47,1,12,1,1
145101,4,4,3,3,3,3,3,3,3120,4,47,1,9,1,1
145901,4,4,2,2,5,4,2,3,840,1,59,1,6,0,1
146401,4,4,2,2,3,3,3,2,5410,2,45,1,9,1,1
147001,4,4,3,2,3,2,2,2,4862,4,54,1,9,1,0
147101,4,4,4,2,3,3,3,2,1894,3,45,1,9,1,1
147501,4,4,3,3,3,2,3,2,1676,2,52,1,9,0,1
148001,3,4,3,3,3,3,3,2,4344,3,52,1,9,1,1
148002,3,4,3,3,3,3,3,2,4344,3,46,0,9,1,0
148501,3,4,3,2,3,3,4,3,1500,2,47,1,9,1,1
148601,5,5,3,3,3,3,3,3,3828,2,48,1,9,1,1
148702,3,3,4,2,3,2,2,2,7828,3,50,0,9,1,1
149001,5,5,3,4,3,2,2,2,2400,2,54,1,12,1,0
149501,4,2,2,2,3,2,2,2,6080,3,51,1,12,1,1
149601,5,3,2,2,3,3,2,2,1990,2,49,1,9,1,1
149602,5,4,2,2,3,3,2,2,1990,2,46,0,6,1,0
150201,3,3,3,2,3,2,2,2,9660,3,49,1,9,1,1
151401,4,5,4,3,3,3,3,2,3928,2,59,1,16,1,1
151501,4,3,3,2,3,3,3,2,4326,2,54,1,12,1,1
151502,4,3,3,2,3,3,3,2,4326,2,53,0,12,1,1
152702,3,3,3,2,3,3,3,2,2660,3,58,0,9,1,1
153101,3,3,3,2,4,3,3,2,3432,2,55,1,16,1,1
153301,3,3,3,2,3,3,3,2,4470,2,51,1,16,1,1
153401,4,4,4,3,5,4,4,3,2921,2,48,1,12,1,1
153601,5,5,4,2,3,3,3,2,3190,2,53,1,6,1,1
153602,5,5,4,2,3,3,3,2,3190,2,48,0,6,1,0
154401,3,3,3,2,3,3,3,2,6730,3,47,1,12,1,1
155101,3,3,2,3,3,3,4,2,2647,3,46,1,12,1,1
155501,4,4,4,3,2,3,3,2,9000,4,46,1,12,1,0
155802,3,3,3,3,2,2,2,2,8056,2,56,1,16,1,1
155803,3,2,2,3,2,2,2,2,8056,2,50,0,16,1,1
157001,4,4,4,3,3,3,3,2,3980,3,45,1,9,1,0
157701,4,4,4,3,3,3,4,3,4110,3,47,1,6,1,0
157702,4,4,3,3,3,3,4,3,4110,3,47,0,6,1,0
158301,4,3,3,2,3,3,3,2,4134,2,47,1,12,1,1
158501,3,3,3,2,3,3,3,2,2722,1,56,1,6,0,1
159601,4,2,3,2,4,3,2,2,2000,2,56,1,12,1,1
159602,4,4,4,2,4,3,2,2,2000,2,46,0,6,1,0
159802,4,4,3,3,3,3,3,3,808,1,49,0,12,1,1
159901,3,2,2,2,4,3,2,2,3530,2,49,1,12,1,1
160201,4,3,3,2,3,2,2,2,9286,3,53,0,12,0,1
160301,4,3,4,2,3,3,3,2,2132,2,51,1,9,1,0
160302,4,3,2,3,3,3,3,2,2132,2,51,0,6,1,1
160401,3,4,3,3,4,3,3,3,4886,4,53,1,9,1,1
160402,3,4,3,3,4,4,4,3,4886,4,54,0,9,1,1
160501,3,2,3,2,3,3,3,3,6920,4,54,1,9,1,1
160502,3,3,2,2,3,3,3,3,6920,4,47,0,6,1,1
160601,4,3,2,3,3,2,2,2,2950,3,48,1,12,1,1
160701,5,4,3,4,3,2,2,3,4300,1,46,1,12,0,0
160801,4,3,3,2,5,5,4,2,7450,4,51,1,9,1,1
161101,3,3,4,2,5,3,3,3,2926,2,46,0,12,0,1
161902,3,3,2,2,2,3,3,3,6570,2,49,0,9,1,1
162101,5,3,2,2,3,3,3,3,3000,3,50,1,9,1,1
162202,3,3,2,2,3,3,3,3,4334,3,48,0,6,1,0
162602,4,3,2,4,5,3,3,3,1968,5,46,1,6,1,1
162603,4,4,2,2,5,4,4,3,1968,5,46,0,9,1,0
163102,4,4,3,2,3,3,3,3,1488,2,46,0,6,1,1
163803,3,3,2,3,3,3,3,3,3350,3,47,1,9,1,1
163901,3,3,3,3,3,3,3,3,5226,4,53,1,9,1,1
163902,3,3,3,2,3,3,3,3,5226,4,45,0,9,1,0
164001,5,4,3,3,5,3,3,3,634,1,57,1,6,0,0
164401,4,4,2,3,2,3,3,3,2554,1,57,1,9,1,1
164701,3,3,3,2,3,2,2,2,9264,4,49,1,16,1,1
164901,4,5,4,3,3,3,3,3,1706,2,58,1,9,1,1
164902,4,5,4,3,3,3,3,3,1706,2,53,0,9,1,1
165502,3,3,3,2,3,3,3,3,3230,1,54,0,12,1,1
166401,3,3,3,2,3,3,3,2,2242,3,54,1,9,1,1
166402,3,3,2,2,3,3,3,2,2242,3,53,0,6,1,0
166701,3,3,3,2,3,3,3,2,3460,2,45,1,9,1,0
166801,3,2,2,2,3,2,1,1,7730,2,50,1,16,1,1
166901,3,3,3,3,3,2,2,2,2806,2,58,1,12,1,1
166902,3,2,2,2,3,2,2,2,2806,2,56,0,9,1,1
167101,3,2,2,2,3,2,3,2,8320,3,48,1,12,1,1
167201,3,3,2,2,3,2,3,3,4346,2,49,1,12,1,1
167401,4,4,3,3,3,3,3,2,4500,4,45,1,9,1,1
167601,2,3,2,2,3,2,2,2,1436,2,52,0,6,1,1
167602,2,2,3,2,3,2,2,2,1436,2,58,1,9,1,1
167701,4,4,3,3,4,3,4,2,3100,3,47,1,9,1,1
167801,5,4,4,2,3,3,3,3,1735,1,58,0,6,0,1
168201,4,4,3,3,5,5,3,4,1800,1,45,1,6,1,1
168901,5,4,3,3,3,3,3,3,5431,3,56,1,9,1,1
168902,5,4,3,3,3,3,3,3,5431,3,52,0,0,1,1
169901,4,4,4,3,3,3,3,3,5088,2,46,1,9,1,0
