CNTLNUM,SCHCNTL,currentTeacher,TFSFINWT,F0105,F0108,F0113,F0116,T0293,T0294,T0295,T0296,T0297,T0298,T0299,T0300,T0301,T0303,T0306,T0307,T0308,T0309,T0310,T0311,T0312,T0315,T0320,T0321,T0322,T0324,T0325,T0326,T0327,T0331,T0332,T0335,T0336,T0337,T0338,T0339,T0340,TFNLWGT,LEP_T,MGMNT_T,NEWTCH,PLAN,PUPILS_D,PUPILS_S,SBKGD_T,SDLQ_T,T0051,T0059,T0106,T0120,T0122,T0124,T0125,T0126,T0127,T0147,T0148,T0149,T0150,T0153,T0154,T0155,T0156,T0158,T0208,T0248,T0250,treat,teachImputed,PUPILS
100620,109009,1,62.0378,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,3,2,5,3,4,4,2,2,1,3,1,3,3,2,2,2,3,1,2,3,2,2,4,3,4,4,2,2,2,1,3,2,1,57.8874,0,15,Teacher has taught 3 years or less,2.5,64,0,8,17,1,1,0,3,5,1,1,1,1,2,-8,0,2,2,1,2,2,2,0,1,-8,0,0,64
100669,104270,0,62.1837,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,5,5,5,5,4,5,1,1,2,3,1,1,3,3,1,3,1,3,4,3,3,3,3,4,3,3,1,2,1,1,4,1,1,49.3742,0,20,Teacher has taught 3 years or less,6.25,125,0,8,14,1,0,2,1,5,1,1,1,1,2,-8,0,1,1,1,2,1,2,0,1,-8,1,0,125
100672,107343,1,128.4226,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,4,1,5,5,5,5,3,3,3,4,4,4,4,1,3,2,4,2,2,1,1,3,3,2,2,4,1,1,4,1,1,2,1,94.8222,0,8,Teacher has taught 3 years or less,2.63,72,0,7,12,1,1,0,3,5,1,1,1,1,1,1,5,2,2,2,1,1,2,0,2,-8,1,0,72
100676,101102,1,724.4096,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,4,3,4,5,4,5,2,2,2,2,2,3,2,2,2,2,2,1,2,3,3,4,3,3,3,4,2,3,2,2,3,2,1,107.505,0,15,Teacher has taught 3 years or less,18.42,330,0,10,15,1,0,1,1,5,2,1,1,1,1,1,3,1,1,2,2,2,2,0,2,-8,0,0,330
100808,105062,1,7.9425,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,5,4,5,5,3,5,3,1,3,3,2,3,4,2,3,2,2,1,1,4,4,3,4,4,4,3,2,3,1,2,3,1,1,6.7688,0,14,Teacher has taught 3 years or less,2.08,62,0,9,17,1,0,3,1,5,1,1,1,1,2,-8,0,2,2,2,1,2,2,0,2,-8,0,0,62
100845,103463,1,108.4621,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,4,3,5,5,5,5,1,2,3,2,2,2,1,1,1,1,2,2,2,2,2,4,1,4,4,4,1,1,2,1,2,3,1,94.3793,0,17,Teacher has taught 3 years or less,20,0,0,6,14,1,0,0,1,5,1,1,1,1,2,-8,0,2,1,1,2,2,2,26,-8,-8,0,0,0
100998,106251,1,521.2193,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,1,4,5,5,5,5,1,1,1,2,1,3,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,116.9101,0,19,Teacher has taught 3 years or less,11.9,0,28,16,20,1,0,1,2,5,1,1,1,1,1,1,5,2,2,1,1,2,2,28,1,-8,0,0,28
101084,106008,0,9.445,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4,5,5,5,5,5,1,1,4,3,1,1,2,1,1,1,1,1,2,3,3,3,3,4,4,4,3,2,2,2,3,2,2,7.0716,0,20,Teacher has taught 3 years or less,10,55,0,9,18,1,0,0,1,5,1,1,2,1,1,2,4,2,1,1,2,2,1,0,1,-8,0,0,55
101109,110919,0,43.3849,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,1,3,4,4,4,4,2,4,4,3,4,4,4,3,3,3,4,2,3,2,2,2,2,3,2,2,1,1,2,1,2,3,4,32.4831,0,8,Teacher has taught 3 years or less,4,175,0,6,10,1,0,0,1,5,1,1,1,1,1,1,2,1,2,2,2,2,2,0,1,-8,0,0,175
101135,102190,1,671.6914,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,5,4,5,4,5,2,2,2,2,1,1,1,1,2,2,2,3,2,3,3,3,2,3,3,4,2,3,2,3,3,2,2,489.0873,0,16,Teacher has taught 3 years or less,11.11,0,0,11,14,1,0,0,3,5,1,1,1,1,1,2,5,2,2,1,1,2,2,0,1,-8,0,0,0
101161,108779,1,13.8369,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,4,2,5,5,4,5,1,1,4,2,3,2,3,2,2,1,1,1,1,3,3,3,4,4,4,4,2,3,4,2,4,2,1,9.8598,0,17,Teacher has taught 3 years or less,2.25,41,0,13,18,1,0,1,3,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,2,-8,0,0,41
101183,103865,1,901.5983,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,3,4,4,4,4,4,2,2,4,2,2,3,2,2,3,2,2,2,1,2,2,3,3,4,4,4,3,3,3,2,3,1,1,220.4174,0,14,Teacher has taught 3 years or less,3.33,0,20,11,18,1,0,1,2,5,1,1,1,1,1,1,5,2,2,1,1,2,2,20,-8,-8,0,0,20
101202,105536,1,465.3806,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,4,4,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,4,4,4,4,4,4,4,4,4,4,1,1,141.2233,2.59,20,Teacher has taught 3 years or less,3.75,116,0,16,20,1,0,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,0,1,2,1,0,116
101257,101971,1,730.7018,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,4,4,5,4,4,5,1,1,4,4,1,4,2,2,1,2,2,2,1,2,2,2,3,2,3,4,3,2,3,3,3,1,5,101.732,5.41,19,Teacher has taught 3 years or less,13.1,148,0,11,15,1,0,5,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,2,2,0,0,148
101267,101290,1,30.7299,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,1,1,5,3,5,5,1,1,2,2,1,2,3,1,1,1,1,4,1,3,1,1,3,3,2,4,2,1,3,1,2,1,1,28.6741,1.2,20,Teacher has taught 3 years or less,21.46,83,0,7,14,1,1,1,3,5,1,1,1,1,1,1,5,2,2,2,1,2,2,0,2,2,0,0,83
101289,109477,1,8.4802,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,4,5,5,5,1,5,3,2,2,2,4,3,4,2,4,3,2,1,2,3,2,3,4,4,3,4,2,2,2,2,2,3,3,5.7917,0,10,Teacher has taught 3 years or less,12.5,62,0,8,17,1,1,1,3,5,1,1,1,1,2,-8,0,2,2,1,1,2,2,0,2,-8,0,0,62
101488,103187,1,451.0725,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,3,5,5,5,4,5,1,1,4,2,1,1,1,1,1,1,1,4,1,2,2,3,2,3,2,4,2,3,3,3,3,1,1,21.0772,0,20,Teacher has taught 3 years or less,10.83,23,0,12,13,1,0,3,2,5,1,1,1,1,1,1,5,1,1,2,1,2,1,0,1,-8,0,0,23
101517,110075,1,449.3308,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3,3,3,3,3,4,2,2,1,2,3,2,2,1,1,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,1,1,67.6605,0,15,Teacher has taught 3 years or less,11.25,0,0,12,15,1,0,1,3,5,1,2,1,1,1,2,5,2,2,1,1,2,2,42,1,1,0,0,0
101634,111574,1,102.6871,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,2,2,3,3,3,4,1,1,4,2,1,3,1,2,3,2,2,3,2,3,3,4,3,4,4,4,3,3,4,3,4,4,3,91.075,0,17,Teacher has taught 3 years or less,5.63,0,26,14,18,1,1,0,3,5,2,1,1,1,1,1,3,2,2,1,2,2,1,26,2,-8,0,0,26
101651,101984,1,21.435,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4,5,5,5,5,5,1,1,2,2,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,3,3,3,3,4,1,1,18.2674,0,20,Teacher has taught 3 years or less,12.5,108,0,13,19,1,1,5,3,5,1,1,1,1,1,1,5,1,2,1,2,2,1,0,1,-8,0,0,108
101713,100854,0,55.8803,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2,4,4,4,4,4,2,3,2,3,1,4,3,2,2,2,3,3,2,3,3,4,3,2,2,4,1,3,3,2,3,2,3,41.8384,15.27,14,Teacher has taught 3 years or less,1.67,131,0,11,12,1,0,0,3,5,1,1,2,1,2,-8,0,2,2,2,2,2,2,0,2,2,0,0,131
101723,108021,1,541.8774,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,4,5,5,5,5,5,1,2,3,3,1,4,2,2,1,2,1,2,1,3,3,4,3,4,4,4,2,3,4,3,4,1,2,119.635,4.29,19,Teacher has taught 3 years or less,2.17,70,0,14,17,1,0,0,1,5,1,2,1,1,2,-8,0,2,2,2,2,2,1,0,1,2,0,0,70
101730,103190,1,22.5624,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,5,5,5,5,5,5,2,1,4,1,1,3,1,1,1,1,1,1,1,4,3,4,3,3,4,4,3,3,2,2,4,1,1,21.8282,1.19,19,Teacher has taught 3 years or less,26.88,84,0,11,17,1,0,1,2,5,1,1,1,1,2,-8,0,2,2,1,1,2,1,0,2,2,0,1,84
101758,109829,1,40.303,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,3,4,5,5,4,5,2,2,4,2,1,2,2,3,1,3,3,2,2,2,2,4,4,3,3,3,2,4,3,2,3,2,3,28.4658,0,16,Teacher has taught 3 years or less,25,90,0,12,15,1,0,1,1,5,1,1,1,1,2,-8,0,1,2,1,1,1,2,0,1,-8,1,0,90
101824,100444,0,92.0568,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,5,5,5,5,5,5,3,3,3,3,2,3,1,2,2,2,2,2,2,3,3,4,4,4,4,4,3,3,3,2,2,2,3,76.5456,0,13,Teacher has taught 3 years or less,10.63,0,11,10,19,1,0,1,1,5,1,1,1,1,1,1,4,2,2,1,2,2,2,11,2,-8,0,0,11
101839,110586,0,116.3166,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,5,4,3,3,4,5,1,2,3,4,1,2,3,2,1,2,2,4,2,1,1,1,3,3,2,3,1,1,3,1,4,4,3,85.8835,2.22,18,Teacher has taught 3 years or less,11.46,135,0,9,12,1,0,0,1,5,1,1,1,1,1,1,3,2,2,2,1,2,2,0,1,1,0,0,135
101881,104145,0,495.5188,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,2,4,4,4,4,4,2,1,4,4,2,2,2,2,2,4,3,3,3,3,2,4,4,3,3,4,2,1,1,1,3,2,1,322.465,0,15,Teacher has taught 3 years or less,17.5,0,0,6,16,1,1,0,3,5,1,1,1,1,1,1,2,2,1,1,1,2,2,20,2,1,0,0,0
102092,108700,1,629.0411,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,4,4,5,4,4,5,1,1,2,3,1,3,2,2,1,2,2,1,2,3,3,4,3,4,4,4,3,4,3,3,4,2,1,9.1658,0,19,Teacher has taught 3 years or less,20.83,68,0,14,18,1,0,0,3,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,2,-8,0,0,68
102197,101944,1,21.5446,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,2,4,1,4,5,1,2,2,3,1,2,3,2,1,3,2,2,1,3,2,3,3,4,3,3,3,2,3,2,3,1,1,20.4667,0,18,Teacher has taught 3 years or less,3.33,0,10,10,16,1,0,0,1,5,1,1,1,1,2,-8,0,1,1,1,2,2,2,10,1,-8,0,1,10
102213,111116,1,124.0647,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,3,4,5,5,4,5,1,1,3,2,1,2,2,1,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,1,2,110.0358,0,20,Teacher has taught 3 years or less,6.25,0,0,16,20,1,0,1,1,5,1,1,1,1,2,-8,0,1,1,1,2,2,2,27,2,-8,0,0,0
102244,103292,0,66.0919,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,5,3,4,4,2,5,2,2,1,4,2,3,2,2,2,3,3,3,3,2,1,3,3,3,3,3,1,2,3,2,4,3,3,52.4774,0,14,Teacher has taught 3 years or less,15,163,0,11,13,1,1,0,3,5,1,2,1,1,1,1,5,2,2,2,1,2,2,0,2,-8,0,0,163
102287,106385,1,22.9273,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,4,4,5,5,5,5,2,3,1,2,1,2,2,2,1,2,2,1,1,2,2,4,4,4,4,4,3,2,2,2,2,1,1,20.3347,100,16,Teacher has taught 3 years or less,8.54,0,18,8,19,1,0,1,3,5,1,1,1,1,1,1,3,1,2,1,1,2,2,18,1,2,0,0,18
102319,102890,1,29.5879,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,4,4,5,5,5,4,1,1,2,2,1,1,1,2,1,2,1,2,1,3,1,4,2,2,4,4,2,2,2,3,2,1,1,26.2421,0,20,Teacher has taught 3 years or less,12.5,0,25,9,14,1,0,1,3,5,1,1,1,1,2,-8,0,2,2,1,2,2,2,25,2,-8,0,1,25
102346,101705,1,696.0906,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1,1,5,5,5,5,2,2,2,2,1,2,2,2,2,1,1,3,1,2,2,4,4,4,4,4,4,2,3,2,4,1,1,146.8495,0,17,Teacher has taught 3 years or less,10,0,21,11,20,1,0,1,3,5,1,1,1,1,1,1,5,1,2,2,1,2,2,21,-8,-8,0,0,21
102391,107250,0,23.7149,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,4,5,5,5,5,5,1,3,4,2,3,2,4,3,2,2,2,2,2,1,1,3,3,2,2,2,1,1,2,2,3,5,5,17.5101,0,14,Teacher has taught 3 years or less,3.75,72,0,8,10,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,-8,-8,0,0,72
102395,101528,1,2206.6688,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,2,3,5,5,4,2,2,2,2,2,2,3,1,2,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,1,2,113.7088,5,15,Teacher has taught 3 years or less,8.11,0,20,16,20,1,0,1,1,1,-8,-8,-8,-8,-8,-8,0,2,1,1,1,2,2,20,2,2,0,0,20
102442,111624,1,7.0902,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,4,5,5,4,4,5,1,2,4,2,1,1,3,2,2,2,1,4,2,3,1,3,3,3,2,3,1,2,2,1,3,2,3,6.0451,0,18,Teacher has taught 3 years or less,10.7,355,0,8,12,1,1,1,3,5,1,1,1,1,2,-8,0,1,2,2,2,1,2,0,2,-8,1,0,355
102526,102880,1,8.7333,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,4,4,4,4,4,1,2,2,2,2,1,2,2,1,1,2,2,1,3,4,4,4,4,4,4,3,4,4,2,4,3,1,5.9645,0,17,Teacher has taught 3 years or less,3.85,71,0,14,19,1,1,0,3,5,1,1,1,1,1,1,3,2,2,2,2,2,2,0,2,-8,0,0,71
102536,107023,1,689.8636,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,3,3,3,3,4,1,1,318.4039,0,20,Teacher has taught 3 years or less,7.94,0,0,13,19,1,0,1,3,5,1,1,1,1,1,1,3,2,2,2,1,2,2,20,2,-8,0,0,0
102674,104083,0,7.729,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4,5,5,5,4,5,3,3,3,1,4,4,3,2,3,2,2,1,2,4,4,4,3,3,3,4,2,4,4,3,4,2,1,5.2786,0,10,Teacher has taught 3 years or less,3.13,59,0,15,15,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,1,1,2,2,0,2,-8,0,0,59
102676,112324,1,412.7953,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,4,4,4,4,4,3,1,1,2,2,1,2,2,1,1,1,2,1,1,3,4,3,3,3,3,3,2,2,2,2,3,1,1,19.7225,0,19,Teacher has taught 3 years or less,10,0,0,9,14,1,0,1,1,5,1,1,1,1,1,1,5,2,1,1,1,1,2,2,1,-8,1,0,0
102726,104829,1,711.6426,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3,4,5,5,4,5,1,1,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,4,4,3,2,3,3,4,1,1,88.4055,3.09,17,Teacher has taught 3 years or less,10.24,162,0,12,17,1,1,1,3,5,1,1,1,1,1,1,5,2,2,2,2,2,2,0,2,2,0,0,162
102737,109577,0,115.9002,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,3,5,5,5,5,5,2,2,4,2,1,3,4,2,2,2,2,1,1,3,3,4,3,4,4,4,3,2,2,2,4,2,1,93.6231,0,16,Teacher has taught 3 years or less,9.52,0,0,10,18,1,0,4,1,5,1,1,1,1,2,-8,0,2,1,1,2,1,1,25,2,1,1,0,0
102769,108705,1,646.0031,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,4,4,4,4,4,4,1,2,2,2,3,2,2,2,1,3,3,1,1,3,3,4,4,4,4,4,4,3,2,3,3,1,1,85.6493,40,15,Teacher has taught 3 years or less,3.75,0,15,11,20,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,1,2,2,2,15,-8,1,0,0,15
102809,100922,1,441.268,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,3,3,4,4,2,5,3,2,3,4,3,4,2,2,2,2,2,2,4,1,1,4,1,1,1,1,1,1,1,1,2,3,5,357.7855,0,13,Teacher has taught 3 years or less,18.18,0,20,5,5,1,0,1,1,5,1,1,1,1,1,1,4,2,2,1,1,2,2,20,1,-8,0,0,20
102822,107306,1,6.1325,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,4,4,5,5,5,5,2,2,4,2,1,3,2,1,2,1,2,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5.8257,0.82,16,Teacher has taught 3 years or less,11.53,122,0,15,20,1,1,0,3,5,1,1,1,1,1,1,4,2,2,2,2,2,2,0,2,2,0,0,122
102936,103131,1,562.7529,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,4,4,5,5,5,5,1,3,3,3,2,2,4,2,2,3,3,4,3,2,2,2,2,2,2,3,3,1,3,2,3,4,4,64.2762,100,14,Teacher has taught 3 years or less,15.15,0,22,9,12,1,0,0,1,5,2,2,1,1,1,1,5,1,2,1,1,2,2,22,1,1,0,0,22
103003,108325,0,361.0935,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,4,4,4,4,2,4,2,2,4,4,2,2,4,2,2,2,2,4,2,2,2,4,4,4,4,4,4,2,2,2,2,4,3,29.4852,0,15,Teacher has taught 3 years or less,2.86,0,0,8,20,1,0,0,1,5,1,1,2,1,2,-8,0,1,2,1,1,2,2,18,1,-8,0,0,0
103058,110943,1,2538.5029,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,4,3,4,1,1,5,4,4,4,4,4,4,3,1,4,2,4,4,3,4,2,3,3,3,3,3,2,1,1,1,3,1,3,49.8471,0,5,Teacher has taught 3 years or less,2.5,128,0,6,14,1,0,0,1,5,1,1,1,1,1,2,5,1,2,2,2,2,2,0,1,-8,0,0,128
103141,106165,1,19.9603,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,3,3,3,4,3,5,1,2,3,2,1,2,2,1,2,2,2,1,2,1,1,1,3,3,2,2,1,1,1,1,2,3,5,14.2233,0.75,17,Teacher has taught 3 years or less,2.19,134,0,5,11,1,1,0,3,5,2,2,2,1,1,2,5,2,2,1,1,2,2,0,2,2,0,0,134
103213,101979,1,781.5694,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,4,3,4,4,4,5,3,2,2,2,1,1,1,1,2,2,2,3,1,3,3,4,3,3,3,4,3,2,2,2,3,2,1,364.3911,20.83,15,Teacher has taught 3 years or less,15.15,0,24,9,16,1,0,0,1,5,1,1,1,1,1,1,4,2,2,1,1,1,2,24,-8,1,1,1,24
103218,108867,1,42.5871,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2,3,5,4,5,5,2,2,2,2,2,3,2,2,2,3,3,1,1,2,2,4,4,4,4,4,4,2,2,2,2,1,1,36.1576,0,14,Teacher has taught 3 years or less,5,0,19,8,20,1,0,1,2,5,1,1,1,1,2,-8,0,1,2,2,2,1,2,19,2,-8,1,0,19
103236,100048,1,189.0411,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,3,5,5,5,4,5,1,1,2,2,1,3,2,2,1,2,2,1,1,2,2,4,3,3,3,3,2,3,2,3,3,1,2,142.5427,0,19,Teacher has taught 3 years or less,9.87,138,0,11,14,1,0,0,3,5,1,1,1,1,1,2,5,2,2,2,2,2,2,0,-8,-8,0,0,138
103242,100194,1,883.3235,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,4,4,5,5,5,5,1,1,3,2,1,2,2,3,1,2,1,1,1,3,3,3,1,3,3,4,2,2,3,2,3,2,3,185.6906,4.17,20,Teacher has taught 3 years or less,25.71,0,24,10,13,1,0,1,1,5,1,1,1,1,1,1,3,2,2,1,2,2,2,24,2,2,0,0,24
103257,103290,1,48.2874,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,4,3,4,4,4,4,1,1,3,2,1,4,3,2,1,2,2,3,1,3,3,2,3,3,3,4,2,2,2,2,3,3,5,39.1519,1.64,19,Teacher has taught 3 years or less,10.42,122,0,9,15,1,0,1,1,5,1,1,1,1,1,2,4,2,1,1,1,2,2,0,2,2,0,0,122
103303,110255,0,112.4367,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,2,2,4,4,4,5,2,2,2,3,3,2,2,2,2,2,2,1,1,2,2,4,3,4,4,4,4,3,4,3,4,1,2,75.2971,0,14,Teacher has taught 3 years or less,4.38,0,0,14,19,1,0,0,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,4,1,-8,0,0,0
103361,107060,1,147.6884,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3,4,5,5,5,5,2,2,3,2,1,2,2,2,2,2,2,4,2,2,2,4,4,3,2,4,1,2,4,3,3,1,2,111.3614,6.85,16,Teacher has taught 3 years or less,10,73,0,12,14,1,0,0,3,5,1,1,1,1,1,1,5,2,1,1,1,2,2,0,2,1,0,0,73
